input,output,instructions
"Prime Minister I suppose you're quite glad about what's happened in Afghanistan. I mean it suits Pakistan very nicely, doesn't it?","I'm glad because we were anticipating the sort of blood bath that took place after the Soviets withdrew from Afghanistan in 1989. Almost 200,000 Afghans died in that five to six year period, so we were petrified here that, when the US left, there would be a bloodbath. For Pakistan, there were consequences if this would have gone wrong. Most of all refugees. We already have three million refugees and we have no capacity to take any more. Secondly, if there was a protracted civil war in Afghanistan, which is also what we feared, because we never thought the Taliban would just take over Afghanistan; we thought they would immediately take over the Pashtun areas, but there would be, we thought, a civil war. So that too would have had implications for Pakistan.","Prime Minister I suppose you're quite glad about what's happened in Afghanistan. I mean it suits Pakistan very nicely, doesn't it?"
"But the Taliban are really a Pakistani creation, aren't they?","Absolutely not. Taliban were a creation of the environment. After the Soviets left, the war lords started fighting each other and, in that chaos, emerged Taliban. And, why did the Taliban emerge? Because they gave people a semblance of rule of law which did not exist before. Previously, before Taliban took over, at every 50 mile there was a checkpoint with a war lord who would take money. It was a fractured Afghanistan after the Soviets left.","But the Taliban are really a Pakistani creation, aren't they?"
"Sorry, excuse me, you were saying there wasn't a rule of law in Afghanistan the last 20 years when people's lives were lifted up beyond anything they had ever experienced?","No,  I'm talking about when Taliban took over in 96. I'm talking about that period, from 96 to 2001. They were not a creation of Pakistan. Pakistan, actually, was backing Gul Badin Hikmatyar. He was the faction Pakistan was backing against Ahmed Shah Masoud.","Sorry, excuse me, you were saying there wasn't a rule of law in Afghanistan the last 20 years when people's lives were lifted up beyond anything they had ever experienced?"
"Another extremist, another Islamic extremist? (Referring to backing Gul Badin Hikmatyar)","Well, all the mujahideen were fighting in the name of religion. They were doing jihad. They were all mujahideen. They weren't quite secular people who were still fighting the Soviets. All I'm saying is that when we backed one faction, in my opinion, we made a huge mistake because we should not have interfered. Whatever government the Afghans wanted; we should have backed them. So, when you back one faction, the other turns against you. In my opinion, it was a mistake made by Pakistan, but Taliban came out of nowhere at that time. I'm talking about 96.","Another extremist, another Islamic extremist? (Referring to backing Gul Badin Hikmatyar)"
"But now, they also came out of out of nowhere and most of educated people, the more kind of advanced people of Afghanistan, are leaving in their thousands because they're terrified of the organisation, which you actually seem to approve of.","this is just not true. First of all, you must understand that Afghanistan has a history. Afghanistan has resisted invaders throughout their history. I mean you would know the British, in 1842, when they invaded Afghanistan. Initially, it's a country which is easily invaded, but then starts the resistance and slowly it grows. It happened against the British, the same thing happened against the Soviets. Initially, there was hardly any fighting, but then gradually even when almost a million Afghans died, the fighting was more intense at the end. So similarly, when the Taliban were destroyed in 2001, initially there was nothing, but gradually the resistance grew. And, from people like us, from 2008 onward, I went specifically to America to tell the think tanks. I met senator Joe Biden, I met John Kerry, a senator at that time, and I explained to them that there was not going to be a military solution. But the US kept going for a military solution, which there wasn't one, so Pakistan was not responsible for this current situation. It was actually the coalition trying to find a military solution which didn't exist. We never knew what the US’s idea of victory was in Afghanistan. I mean if it was Al-Qaeda and Osama bin Laden, Al-Qaeda was decimated in the first two years. It was finished, so what what did US hope to achieve? Nation-building, democracy, liberating their women, whatever these aims were, these were not going to be attained through military action.","But now, they also came out of out of nowhere and most of educated people, the more kind of advanced people of Afghanistan, are leaving in their thousands because they're terrified of the organisation, which you actually seem to approve of."
"When the Taliban took over, you were quoted as saying that Afghanistan had thrown off the shackles of slavery. You must be really embarrassed by that now, aren't you?","First of all, I was making a speech in Urdu. The speech was about single curriculum for the whole country. Pakistan inherited the sort of colonial system which was for a tiny elite. We had this two-tier system in Pakistan, one for the elites and one for the masses. So after 70 years, my government finally introduced a unified curriculum up till class five. I was inaugurating this curriculum and my exact words were that mental slavery is far more difficult to shed off than physical slavery. I mentioned Afghanistan in that context. It was just translated into English and came out not as I intended to.","When the Taliban took over, you were quoted as saying that Afghanistan had thrown off the shackles of slavery. You must be really embarrassed by that now, aren't you?"
"No, I understand that, but this is a really good opportunity for you now to say you condemn the excesses of the Taliban and that you feel that by, for instance, preventing women from getting a decent education, once again, they're taking the wrong direction. Would you like to say that to us now?","if anyone has any idea of what our religion was, it was a liberation of women 1500 years ago. When it came, our Prophet (peace be upon him), we regard him as someone who gave rights to women, who freed slaves, who gave equal rights to minorities, everyone was an equal citizen, he ended racism, so we look upon him at age of advent of Islam as enlightenment. And so, the idea that women should not get educated is just not Islamic. It might have been some rural culture in Afghanistan, but it has nothing to do with religion. The Taliban statements since they've assumed power have been encouraging. They have said they will have an inclusive government; they have said they'll give women right to work and education, they will give amnesty to everyone, the soil won't be used for terrorism by anyone. You know, these are encouraging statements.","No, I understand that, but this is a really good opportunity for you now to say you condemn the excesses of the Taliban and that you feel that by, for instance, preventing women from getting a decent education, once again, they're taking the wrong direction. Would you like to say that to us now?"
So you're approving the way the Taliban are operating?,"No, I'm approving of what they have said. What happens now, I'm afraid John, I can't predict. In fact, no one can tell where Afghanistan goes from here, but what we hope and pray that finally after 40 years, the people of Afghanistan will have peace and stability.",So you're approving the way the Taliban are operating?
And you'll give the Taliban time to show whether they're the kind of government that you can approve of or will you say to them that they've really got to shape up and behave properly?,"You know, John, I think this is a great opportunity for the international community to actually incentivize Taliban to walk the talk. As compared to last time, I find that the Taliban are seeking international acceptability. I think they recognize that the situation in Afghanistan, unless the international community helps them, this could really spiral out of control. And, it could really. There could be a huge humanitarian crisis. So I think that they are reaching out to the international community and that gives leverage to the international community to make sure the statements they've made, they actually implement them.",And you'll give the Taliban time to show whether they're the kind of government that you can approve of or will you say to them that they've really got to shape up and behave properly?
"I must say, from my own experience in Afghanistan, what tends to happen is that the Taliban leaders say one thing, but real day-to-day moment by moment power exists in the hands of the vigilantes that go around the streets. They're the ones that decide what the state of Afghan kind of society is. It doesn't really matter what the top Taliban leaders say. Life is still going to be pretty terrible for ordinary Afghans.","again you know, I cannot say which way Afghanistan will go from here, and as I said we are quite tense. My biggest worry right now is the looming humanitarian crisis because, remember, 75 percent of Afghanistan's budget was foreign aid. Once you take away the foreign aid, they are facing a huge crisis ahead. So where Afghanistan goes from here, I don't know, but all I can say is that, from watching from the outside, there are factions within the Taliban. There are clearly the Taliban who are, at the moment, at the helm, are trying to get international acceptability. But then there are those who have been in the field for 20 years, who would claim that they had given a lot of sacrifices. I would imagine there would be a lot of problems within the Taliban so where this goes, as I said, I'm afraid I’m not in a position to say what will happen, but I know what we want to happen is that if they can stick to the statements they've made, it could be a new beginning.","I must say, from my own experience in Afghanistan, what tends to happen is that the Taliban leaders say one thing, but real day-to-day moment by moment power exists in the hands of the vigilantes that go around the streets. They're the ones that decide what the state of Afghan kind of society is. It doesn't really matter what the top Taliban leaders say. Life is still going to be pretty terrible for ordinary Afghans."
